round,Date,matchID,ballPosession,corners,freekicks,offsides,score,shotsOnGoal,Teams_teamID,home,team_name,GroupName
4,2020-11-25,57,44x56,0x4,9x13,3x1,0x1,0x10,11,1,"Olympiacos ",C
5,2020-12-01,67,54x46,6x3,20x12,1x7,2x1,5x2,11,0,"Olympiacos ",C
6,2020-12-09,93,54x46,4x4,20x15,4x2,0x2,1x3,11,1,"Olympiacos ",C
1,2020-10-21,11,53x47,2x3,14x19,7x1,1x0,3x2,12,0,Marseille,C
2,2020-10-27,19,37x63,1x5,14x8,3x5,0x3,2x4,12,1,Marseille,C
3,2020-11-03,39,42x58,3x6,19x18,5x1,3x0,4x0,12,0,Marseille,C
4,2020-11-25,59,55x45,3x2,16x20,3x1,0x2,2x4,12,1,Marseille,C
5,2020-12-01,67,54x46,6x3,20x12,1x7,2x1,5x2,12,1,Marseille,C
6,2020-12-09,94,53x47,6x3,9x10,3x3,3x0,8x2,12,0,Marseille,C
1,2020-10-21,16,47x53,3x9,10x12,2x1,0x1,4x4,13,0,Liverpool,D
2,2020-10-27,20,60x40,3x2,11x12,1x1,2x0,2x2,13,1,Liverpool,D
3,2020-11-03,40,45x55,6x7,18x7,4x2,0x5,6x12,13,0,Liverpool,D
4,2020-11-25,60,54x46,2x2,16x14,2x2,0x2,0x4,13,1,Liverpool,D
5,2020-12-01,68,45x55,1x6,19x17,2x7,1x0,5x4,13,1,Liverpool,D
6,2020-12-09,89,52x48,9x3,13x12,5x3,1x1,6x4,13,0,Liverpool,D
1,2020-10-21,12,52x48,4x5,15x10,0x3,0x4,3x11,14,0,Atalanta,D
2,2020-10-27,24,46x54,7x6,16x16,5x0,2x2,6x7,14,1,Atalanta,D
3,2020-11-03,40,45x55,6x7,18x7,4x2,0x5,6x12,14,1,Atalanta,D
4,2020-11-25,60,54x46,2x2,16x14,2x2,0x2,0x4,14,0,Atalanta,D
5,2020-12-01,72,8x3,4x2,18x12,0x1,59x41,4x4,14,1,Atalanta,D
6,2020-12-09,90,63x37,6x4,17x23,3x3,0x1,2x1,14,0,Atalanta,D
1,2020-10-21,16,47x53,3x9,10x12,2x1,0x1,4x4,15,1,Ajax,D
2,2020-10-27,24,46x54,7x6,16x16,5x0,2x2,6x7,15,0,Ajax,D
3,2020-11-03,37,46x54,3x3,22x19,1x4,1x2,4x4,15,0,Ajax,D
4,2020-11-25,64,56x44,8x1,14x16,3x4,3x1,9x5,15,1,Ajax,D
5,2020-12-01,68,45x55,1x6,19x17,2x7,1x0,5x4,15,0,Ajax,D
6,2020-12-09,90,63x37,6x4,17x23,3x3,0x1,2x1,15,1,Ajax,D
1,2020-10-21,12,52x48,4x5,15x10,0x3,0x4,3x11,16,1,Midtjylland,D
2,2020-10-27,20,60x40,3x2,11x12,1x1,2x0,2x2,16,0,Midtjylland,D
3,2020-11-03,37,46x54,3x3,22x19,1x4,1x2,4x4,16,1,Midtjylland,D
4,2020-11-25,64,56x44,8x1,14x16,3x4,3x1,9x5,16,0,Midtjylland,D
5,2020-12-01,72,8x3,4x2,18x12,0x1,59x41,4x4,16,0,Midtjylland,D
6,2020-12-09,89,52x48,9x3,13x12,5x3,1x1,6x4,16,1,Midtjylland,D
1,2020-10-20,7,44x56,2x5,10x13,1x1,0x0,4x2,17,1,Chelsea,E
2,2020-10-28,25,33x67,6x4,15x12,2x3,0x4,4x8,17,0,Chelsea,E
3,2020-11-04,47,57x43,2x3,9x16,4x3,3x0,4x2,17,1,Chelsea,E
4,2020-11-24,49,51x49,11x3,11x13,0x2,1x2,5x5,17,0,Chelsea,E
5,2020-12-02,75,55x45,3x7,16x10,1x1,0x4,3x7,17,0,Chelsea,E
6,2020-12-08,86,60x40,6x2,10x21,1x1,1x1,5x2,17,1,Chelsea,E
1,2020-10-20,7,44x56,2x5,10x13,1x1,0x0,4x2,18,0,Sevilla,E
2,2020-10-28,27,62x38,11x0,19x20,6x0,1x0,7x2,18,1,Sevilla,E
3,2020-11-04,43,61x39,6x4,14x11,0x2,3x2,12x3,18,1,Sevilla,E
4,2020-11-24,50,41x59,1x3,11x19,4x1,1x2,3x8,18,0,Sevilla,E
5,2020-12-02,75,55x45,3x7,16x10,1x1,0x4,3x7,18,1,Sevilla,E
6,2020-12-08,83,50x50,10x2,11x18,1x2,1x3,6x5,18,0,Sevilla,E
1,2020-10-20,3,60x40,3x2,10x22,0x3,1x1,7x3,19,1,Krasnodar,E
2,2020-10-28,25,33x67,6x4,15x12,2x3,0x4,4x8,19,1,Krasnodar,E
3,2020-11-04,43,61x39,6x4,14x11,0x2,3x2,12x3,19,0,Krasnodar,E
4,2020-11-24,50,41x59,1x3,11x19,4x1,1x2,3x8,19,1,Krasnodar,E
5,2020-12-02,73,45x55,10x7,22x11,0x0,1x0,3x5,19,1,Krasnodar,E
